Hora	Tiempo(nSeg)	ECG(V)							
01:28:02 p. m.	525.00	2.59							
01:28:02 p. m.	526.00	2.64							
01:28:02 p. m.	527.00	4.04							
01:28:02 p. m.	528.00	2.8							
01:28:02 p. m.	529.00	2.73							
01:28:02 p. m.	530.00	2.7							
01:28:02 p. m.	531.00	2.94							
01:28:02 p. m.	532.00	2.89							
01:28:02 p. m.	533.00	2.87							
01:28:02 p. m.	534.00	2.93							
01:28:02 p. m.	535.00	2.74							
01:28:02 p. m.	536.00	2.45							
01:28:02 p. m.	537.00	2.65							
01:28:02 p. m.	538.00	2.91							
01:28:02 p. m.	539.00	2.82							
01:28:02 p. m.	540.00	2.97							
01:28:02 p. m.	541.00	2.83							
01:28:02 p. m.	542.00	2.79							
01:28:02 p. m.	543.00	2.77							
01:28:02 p. m.	544.00	2.82							
01:28:02 p. m.	545.00	2.77							
01:28:02 p. m.	546.00	2.77							
01:28:02 p. m.	547.00	2.71							
01:28:02 p. m.	548.00	2.75							
01:28:02 p. m.	549.00	2.7							
01:28:02 p. m.	550.00	2.77							
01:28:02 p. m.	551.00	2.84							
01:28:02 p. m.	552.00	2.75							
01:28:02 p. m.	553.00	2.66							
01:28:02 p. m.	554.00	2.89							
01:28:02 p. m.	555.00	2.57							
01:28:02 p. m.	556.00	2.78							
01:28:02 p. m.	557.00	2.89							
01:28:02 p. m.	558.00	3.1							
01:28:02 p. m.	559.00	3.53							
01:28:02 p. m.	560.00	2.92							
01:28:02 p. m.	561.00	3.26							
01:28:02 p. m.	562.00	3.15							
01:28:02 p. m.	563.00	2.8							
01:28:02 p. m.	564.00	2.77							
01:28:02 p. m.	565.00	3.03							
01:28:03 p. m.	566.00	2.92							
01:28:03 p. m.	567.00	2.66							
01:28:03 p. m.	568.00	2.83							
01:28:03 p. m.	569.00	2.72							
01:28:03 p. m.	570.00	2.8							
01:28:03 p. m.	571.00	2.75							
01:28:03 p. m.	572.00	2.69							
01:28:03 p. m.	573.00	2.82							
01:28:03 p. m.	574.00	2.74							
01:28:03 p. m.	575.00	2.8							
01:28:03 p. m.	576.00	2.77							
01:28:03 p. m.	577.00	2.84							
01:28:03 p. m.	578.00	2.81							
01:28:03 p. m.	579.00	2.86							
